"","AGE_W1_CORE","ATTVIO12_W6","ATTVIO1_W6","COUNTRY_W6","DFH1_W6","DFH2_W6","DFH3_W6","DFH4_W6","DFH5_W6","DFH6_W6","DFH7_W6","DFH8_W6","DFH9_W6","DFH10_W6","DFH11_W6","DFH12_W6","DFH13_W6","DFH14_W6","DFH15_W6","DFH16_W6","DFH17_W6","DFH18_W6","DFH19_W6","DFH20_W6","DFH21_W6","DFH22_W6","DFH23_W6","DFH24_W6","DFH25_W6","DFH26_W6","DFH27_W6","DFH28_W6","DFH29_W6","DFH30_W6","DFHNORMS1_W6","DFHNORMS2_W6","DFHNORMS3_W6","DFHNORMS4_W6","DFHNORMS5_W6","DFHNORMS6_W6","DFHNORMS7_W6","DFHNORMS8_W6","DFHNORMS9_W6","DFHNORMS10_W6","DFHNORMS11_W6","DFHNORMS12_W6","DFHNORMS13_W6","DFHNORMS14_W6","DFHNORMS15_W6","DFHNORMS16_W6","DFHNORMS17_W6","DFHNORMS18_W6","DFHNORMS19_W6","DFHNORMS20_W6","DFHNORMS21_W6","DFHNORMS22_W6","DFHNORMS23_W6","DFHNORMS24_W6","DFHNORMS25_W6","DFHNORMS26_W6","DFHNORMS27_W6","DFHNORMS28_W6","DFHNORMS29_W6","DFHNORMS30_W6","EDUCATION_W6","ETHNICITY_SA_CORE","GENDER_CORE","RELIGION_W2_CORE","SELFFACE1_W6","SELFFACE2_W6","SELFFACE3_W6","SELFFACE4_W6","SELFFACE5_W6","SELFFACE6_W6","SELFFACE7_W6","SELFFACE8_W6","SELFFACE9_W6","SELFFACE10_W6","SELFFACE11_W6","SELFFACE12_W6","SELFFACE13_W6"
"1209","NA","1","1","Kenya","6","6","6","6","6","6","6","6","6","6","6","6","6","1","6","6","5","6","6","4","6","3","6","6","5","1","6","4","6","4","3","NA","5","5","3","NA","NA","NA","NA","1","3","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","6","NA","NA","3","1","available upon request","1","NA","2","1","7","7","7","5","4","2","3","6","5","5","7"
"1210","21","1","4","Kenya","5","6","6","6","6","5","6","6","6","6","5","1","5","5","5","5","5","5","6","6","6","6","6","5","6","2","4","5","6","4","NA","NA","5","NA","4","4","NA","4","NA","NA","NA","NA","5","NA","NA","3","NA","NA","4","NA","NA","5","NA","3","NA","6","NA","NA","NA","NA","5","available upon request","1","christianity","2","1","5","5","7","7","7","5","5","6","5","5","6"
"1211","NA","1","4","Kenya","3","2","2","3","6","5","2","3","5","5","5","4","3","2","3","3","2","5","3","3","2","1","3","4","3","2","3","5","4","4","1","NA","NA","NA","NA","1","NA","5","NA","1","1","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","5","1","NA","NA","NA","2","NA","1","available upon request","1","NA","2","0","1","2","6","3","3","2","1","1","6","4","3"
"1212","NA","1","1","Kenya","4","3","5","4","5","6","5","4","4","6","6","4","5","6","5","5","4","6","5","4","5","4","4","5","5","4","5","6","2","4","NA","NA","NA","NA","NA","NA","NA","NA","5","6","5","NA","NA","5","NA","6","NA","NA","NA","5","NA","NA","5","NA","NA","5","6","NA","NA","4","2","available upon request","1","NA","2","1","7","7","7","6","6","6","6","5","5","5","6"
"1213","20","1","2","Kenya","6","6","6","6","6","6","6","6","6","6","4","2","6","2","6","6","2","6","2","6","6","6","2","6","6","2","2","6","6","2","NA","NA","2","NA","2","NA","NA","NA","2","NA","NA","NA","5","NA","NA","NA","NA","2","NA","NA","NA","6","NA","5","5","5","5","NA","NA","NA","4","available upon request","1","christianity","2","0","7","7","7","7","7","7","7","7","5","4","2"
"1214","NA","NA","NA","Kenya","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","available upon request","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1215","18","1","4","Kenya","4","6","4","6","6","5","4","5","5","5","4","1","5","1","5","5","4","6","6","4","5","5","4","5","4","4","4","5","5","4","NA","NA","NA","3","1","4","NA","2","NA","NA","NA","NA","4","NA","2","NA","NA","NA","NA","3","NA","NA","2","NA","NA","2","NA","NA","3","NA","4","available upon request","0","christianity","4","0","5","6","7","6","7","6","6","6","5","2","4"
"1216","19","5","1","Kenya","3","1","6","2","5","6","1","1","4","5","1","3","1","1","6","2","6","1","6","5","3","1","1","3","2","1","6","4","6","1","2","NA","NA","NA","NA","NA","NA","NA","5","5","NA","NA","3","6","NA","3","NA","NA","NA","3","NA","NA","NA","6","4","NA","NA","NA","6","NA","1","available upon request","1","islam","2","0","3","5","6","2","2","4","4","4","3","7","5"
"1217","NA","1","2","Kenya","5","5","5","5","5","5","3","5","1","4","5","5","5","6","2","5","3","5","5","5","5","5","2","5","6","5","2","5","5","1","NA","NA","5","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","NA","5","NA","5","NA","6","NA","5","5","NA","5","6","NA","NA","6","available upon request","1","NA","2","0","1","2","2","6","6","4","7","6","7","6","4"
"1218","NA","2","1","Kenya","3","4","3","3","6","6","3","5","4","3","2","5","2","5","2","4","5","3","3","2","2","4","3","3","4","4","3","5","4","3","NA","3","NA","3","NA","NA","NA","4","NA","4","2","NA","NA","NA","NA","NA","NA","4","NA","NA","5","NA","5","NA","2","NA","NA","NA","NA","3","3","available upon request","0","NA","2","0","1","3","3","2","6","4","6","6","4","6","4"
"1219","18","1","3","Kenya","6","5","6","5","4","6","6","6","6","6","6","6","6","6","6","6","5","5","5","6","6","1","5","5","1","1","1","5","6","3","6","NA","6","NA","NA","NA","NA","NA","6","6","NA","NA","6","NA","NA","6","3","5","NA","NA","6","NA","NA","NA","6","NA","NA","NA","NA","NA","2","available upon request","0","NA","5","1","7","7","5","7","1","4","1","7","7","7","4"
"1220","18","2","2","Kenya","5","6","2","1","4","5","6","5","6","3","5","2","5","1","5","5","5","5","6","5","6","5","5","5","4","5","5","6","5","5","NA","NA","5","5","NA","NA","NA","NA","NA","4","NA","NA","6","NA","6","4","NA","NA","5","NA","NA","NA","4","NA","NA","NA","4","5","NA","NA","1","available upon request","0","christianity","4","1","2","3","6","2","6","6","6","2","6","4","2"
"1221","20","1","2","Kenya","5","4","5","4","2","5","5","5","6","4","5","6","5","5","6","6","5","3","4","5","1","4","4","5","3","4","5","4","6","6","NA","NA","NA","2","NA","5","NA","6","NA","NA","NA","NA","5","NA","NA","6","5","NA","5","NA","5","NA","NA","NA","3","NA","NA","4","NA","NA","1","available upon request","1","islam","5","0","4","4","4","4","4","4","4","4","4","4","4"
"1222","NA","4","4","Kenya","4","5","4","4","4","4","4","4","5","3","4","4","5","4","4","5","4","4","4","4","4","4","4","4","5","5","4","5","5","4","NA","5","NA","NA","5","NA","5","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","NA","NA","5","NA","5","NA","5","5","NA","NA","5","4","available upon request","0","NA","2","0","6","6","5","5","5","5","5","5","5","5","5"
